timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_accuracy_m
1788350302002,-0.63544,0.30727,1.01469,-0.256711,-0.209578,-0.046362,13.1384244,77.5898050,8.00
1788350302002,-0.37317,-0.47870,-0.35402,0.126858,-0.692196,-0.097794,,,
1788350302002,-0.54095,0.71394,-0.33741,0.634236,-0.795181,0.001112,,,
1788350302002,0.04510,0.51316,0.39493,0.700165,-0.735574,0.109818,,,
1788350302002,0.04510,0.51316,0.39493,0.700165,-0.735574,0.109818,,,
1788350302002,-0.23272,-0.33617,1.15795,0.062983,-0.454748,-0.084581,,,
1788350302002,-0.54425,0.08421,1.06579,-0.328806,0.118700,-0.171366,,,
1788350302002,-0.50643,0.32257,-0.60496,-0.196330,0.168379,-0.247902,,,
1788350302002,0.20485,0.62567,-0.58446,0.106720,-0.140803,-0.242704,,,
1788350302002,0.02230,-0.01360,0.95477,0.085149,-0.298404,-0.235175,,,
1788350302002,-0.47007,-0.60671,1.57425,-0.327044,-0.294835,-0.228764,,,
1788350302002,-0.47007,-0.60671,1.57425,-0.327044,-0.294835,-0.228764,,,
1788350302002,0.35786,-0.19428,0.15930,-0.335642,-0.410964,-0.200588,,,
1788350302002,-0.51753,-0.12998,-0.98973,0.000830,-0.001051,-0.123207,,,
1788350302002,0.25438,-0.19746,0.11064,-0.118596,-0.061443,0.070500,,,
1788350302002,-0.21225,-0.14971,-0.43317,-0.191545,-0.151505,0.098992,,,
1788350302002,-0.02029,0.52916,-0.36870,0.196209,-0.131406,0.201345,,,
1788350302002,-0.52243,0.45879,0.28687,0.222597,-0.314349,0.149982,,,
1788350302002,-0.52243,0.45879,0.28687,0.222597,-0.314349,0.149982,,,
1788350302002,-0.08157,0.10585,0.56049,0.175851,-0.493117,0.138515,,,
1788350303002,-0.67095,0.02986,0.56500,0.157085,-0.477515,-0.009910,13.1385416,77.5898142,8.00
1788350303002,0.08604,0.14836,-0.07349,0.229119,-0.533460,0.050653,,,
1788350303002,-0.16000,0.57458,0.77271,-0.317046,-0.702177,-0.201356,,,
1788350303002,-0.37102,-0.09277,-0.68066,-0.520197,-0.520511,-0.324550,,,
1788350303002,-0.40695,-0.40911,-0.89756,-0.346451,-0.404158,-0.114790,,,
1788350303002,-0.40695,-0.40911,-0.89756,-0.346451,-0.404158,-0.114790,,,
1788350303002,0.32232,0.37202,0.20272,-1.438222,0.499088,-0.005150,,,
1788350303002,-0.25845,-0.68533,0.12072,-1.249923,-0.731706,-0.554089,,,
1788350303002,-0.27297,-0.28141,-0.63706,-0.693313,-1.606549,-0.738739,,,
1788350303002,0.67320,0.51945,0.16575,-0.527353,-1.142484,-0.462190,,,
1788350303002,-1.72024,-1.64652,-0.32030,-0.773187,-0.956170,0.323590,,,
1788350303002,-0.57745,-0.41965,-0.74322,-0.721961,-0.042560,0.081827,,,
1788350303002,-0.57745,-0.41965,-0.74322,-0.721961,-0.042560,0.081827,,,
1788350303002,-1.11385,-0.21471,-0.40966,-0.271970,0.946439,-0.438336,,,
1788350303002,-0.89867,-0.68931,-0.34047,0.375649,0.930184,-0.195422,,,
1788350303002,-0.30906,-0.13442,0.71671,0.372801,0.815787,0.281942,,,
1788350303002,-0.52779,0.13008,0.87457,0.062931,0.749427,0.344470,,,
1788350303002,-0.27160,0.54006,1.10638,0.019516,1.127742,0.155589,,,
1788350303002,-0.54200,-0.09304,0.81141,0.272150,-0.157517,-0.094898,,,
1788350303002,-0.54200,-0.09304,0.81141,0.272150,-0.157517,-0.094898,,,
1788350303002,1.01057,-0.11280,-1.12814,0.074092,-0.552646,0.029425,,,
1788350303002,0.69790,0.29395,-0.70262,0.099657,-0.372148,0.404450,,,
1788350303002,-0.46785,0.40603,-0.70619,0.522661,-0.010183,0.353533,,,
1788350303002,-0.32021,0.47292,-0.15448,0.519841,0.281114,0.164161,,,
1788350303002,-0.21897,-0.02872,0.35443,0.159489,0.181843,0.276962,,,
1788350303002,-0.03243,0.45334,-0.26204,0.073441,-0.242680,0.387128,,,
1788350303002,-0.03243,0.45334,-0.26204,0.073441,-0.242680,0.387128,,,
1788350303002,-0.46932,0.92006,0.16383,0.146245,-0.168379,0.127652,,,
1788350303002,-0.46818,0.56337,-0.29998,0.640493,-0.158428,-0.194927,,,
1788350303002,0.22968,-0.53537,0.11302,0.262746,0.364591,0.092553,,,
1788350303002,-0.28490,-1.58927,-0.62383,0.114665,0.279452,0.184174,,,
1788350303002,0.36566,0.20677,-0.78428,0.316197,0.138579,0.271823,,,
1788350303002,-0.07521,-0.55446,-0.41842,0.386932,-0.025849,0.188932,,,
1788350304002,-0.07521,-0.55446,-0.41842,0.386932,-0.025849,0.188932,13.1386596,77.5898271,8.00
1788350304002,0.20093,-0.27429,0.37479,0.011656,-0.154284,0.372493,,,
1788350304002,-0.20876,0.33146,-0.34436,0.183879,0.054371,0.385176,,,
1788350304002,-0.00288,0.68890,0.34808,0.418717,0.023181,0.196001,,,
