timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_accuracy_m
1787584787612,-0.01806,0.54761,-0.47140,-0.223161,-0.157494,0.110499,13.1288161,77.5895242,240.24
1787584787612,-0.01806,0.54761,-0.47140,-0.223161,-0.157494,0.110499,,,
1787584787612,-0.62664,0.32518,0.22319,0.124937,-0.943454,-0.309412,,,
1787584787612,-0.01794,0.26930,1.18810,0.081411,-0.705872,-0.256035,,,
1787584787612,-0.18918,-0.16218,2.14454,-0.508727,0.034722,0.042715,,,
1787584787612,-0.53880,-0.27811,1.47883,-0.679278,0.356989,-0.025071,,,
1787584787612,-0.48488,-0.56900,1.34877,-0.603095,0.443322,-0.234403,,,
1787584787612,0.21945,-0.73044,0.96714,-0.467600,-0.276538,-0.266282,,,
1787584787612,0.21945,-0.73044,0.96714,-0.467600,-0.276538,-0.266282,,,
1787584787612,0.19176,-0.26513,-0.60608,-0.041302,0.014627,0.090233,,,
1787584787612,0.05470,-0.94191,-0.56274,0.077546,-0.072035,0.272938,,,
1787584787612,-0.47391,-1.29811,-1.23729,-0.098443,-0.395584,-0.152454,,,
1787584787612,-0.39637,-0.58045,-1.93686,0.011934,0.230275,-0.215227,,,
1787584787612,-0.34205,-0.59026,-1.16905,-0.174183,0.490154,-0.071637,,,
1787584787612,-0.74498,-0.65398,-0.51478,-0.789302,-0.064894,-0.537873,,,
1787584787612,-0.74498,-0.65398,-0.51478,-0.789302,-0.064894,-0.537873,,,
1787584787612,-1.28287,1.44986,-1.89443,-0.773871,-0.021257,-0.614014,,,
1787584787612,-1.31902,2.15448,-1.73263,-0.160089,0.776806,0.058993,,,
1787584787612,-1.53336,0.41700,-0.43805,0.380237,0.396786,0.140107,,,
1787584787612,-1.78843,-0.26381,0.03597,0.530194,-0.643835,-0.345849,,,
1787584787612,-2.22221,0.07713,-0.40101,0.335096,-1.110492,-0.969587,,,
1787584787612,-2.19331,0.67121,-0.48839,0.251204,-0.747606,-1.206477,,,
1787584787612,-2.19331,0.67121,-0.48839,0.251204,-0.747606,-1.206477,,,
1787584787612,-1.48304,1.57883,0.54995,0.315029,-0.118225,-0.954039,,,
1787584787612,-1.43138,0.22102,1.85846,0.218016,0.203375,-0.689496,,,
1787584787612,-0.63665,-0.61604,2.45550,-0.164676,0.737721,-0.894026,,,
1787584787612,-0.27035,-0.97219,2.00763,-0.577664,0.794052,-0.972903,,,
1787584787612,1.33550,-1.66192,-0.07773,-0.361048,0.445186,-0.782960,,,
1787584787612,1.58439,-1.89713,-0.41418,0.091004,-0.199621,-0.532919,,,
1787584787612,1.58439,-1.89713,-0.41418,0.091004,-0.199621,-0.532919,,,
1787584787612,1.39426,-2.65455,-1.53354,0.202052,-1.015304,-0.450046,,,
1787584787612,0.76823,-0.93355,-3.46432,0.234926,-0.599707,-0.480821,,,
1787584787612,1.06749,0.79612,-3.71843,0.476664,1.415803,0.448305,,,
1787584787612,1.68249,-0.34473,-1.28189,0.063988,0.827139,0.760419,,,
1787584787612,0.66167,0.60050,-1.04089,0.140784,-0.230485,0.516261,,,
1787584787612,-0.00422,1.88296,-0.40823,0.758636,-0.376017,0.439157,,,
1787584787612,-0.00422,1.88296,-0.40823,0.758636,-0.376017,0.439157,,,
1787584787612,-0.80759,1.28811,2.33690,0.671880,-0.360012,0.070864,,,
1787584787612,0.03815,0.84573,3.37505,-0.258122,-0.382443,-0.136506,,,
1787584787612,0.72678,0.28312,1.48763,-0.860878,0.485017,-0.048526,,,
1787584789612,1.25059,-0.00215,0.80992,-0.883508,0.979062,0.435710,13.1289593,77.5893760,49.79
1787584789612,-0.50614,0.63314,0.90469,-0.600504,0.973531,0.409631,,,
1787584789612,-0.76226,0.29311,1.54075,-0.085236,0.788376,0.534553,,,
1787584789612,-0.76226,0.29311,1.54075,-0.085236,0.788376,0.534553,,,
1787584789612,-0.71126,-0.16421,2.86192,0.010211,-0.292350,0.480915,,,
1787584789612,-0.49197,-0.47266,2.17466,-0.209037,-0.654846,0.397879,,,
1787584789612,-0.92966,-0.12556,1.12964,-0.464532,-0.554202,0.358371,,,
1787584789612,-0.70608,0.07993,-0.09040,-0.412913,-0.322750,0.398409,,,
1787584789612,-0.55923,-0.29786,-0.79961,-0.251695,-0.290432,0.516134,,,
1787584789612,-0.68550,-0.50144,-1.30627,-0.258108,-0.592966,0.270452,,,
1787584789612,-0.68550,-0.50144,-1.30627,-0.258108,-0.592966,0.270452,,,
1787584789612,-0.10174,-0.22610,-1.48061,-0.253586,-0.479458,0.205904,,,
1787584789612,0.35772,-0.41670,-1.15365,-0.864696,-0.460322,0.007977,,,
1787584789612,-1.01290,0.57641,-1.68938,-1.637643,-0.479850,-0.553315,,,
1787584789612,-1.11684,1.71229,-3.46842,-1.110919,0.098916,-0.650648,,,
1787584789612,0.06822,1.06994,-0.77460,-0.318231,0.349763,-0.258991,,,
1787584789612,-0.12003,0.20327,0.74920,-0.007831,-0.456112,-0.245416,,,
1787584789612,-0.12003,0.20327,0.74920,-0.007831,-0.456112,-0.245416,,,
1787584789612,-0.51469,-0.25460,1.57068,0.067330,-0.778055,-0.413207,,,
1787584789612,-0.27794,0.06880,1.32853,-0.098525,-0.422237,-0.219390,,,
1787584789612,-0.45287,-0.73051,1.24103,-0.232675,-0.114207,-0.118848,,,
1787584789612,-0.74202,-1.22034,1.22355,-0.131226,-0.273490,-0.389103,,,
1787584789612,0.23502,-1.22744,0.84849,0.359658,-0.667514,-0.451629,,,
1787584789612,0.81600,-1.20641,0.96429,0.487779,-0.825095,-0.251126,,,
1787584789612,0.81600,-1.20641,0.96429,0.487779,-0.825095,-0.251126,,,
1787584789612,1.86045,-1.78294,0.10856,0.075640,-0.974243,-0.090522,,,
1787584789612,2.35963,-1.85206,-1.90939,0.098306,-0.522990,0.137338,,,
