timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_accuracy_m
1788350741001,0.48683,0.63322,2.92324,0.751276,-0.992974,-0.007317,13.1258100,77.5794118,11.08
1788350741001,-0.36594,0.92158,2.22681,-0.061695,-0.308569,0.107359,,,
1788350741001,-1.39064,-0.53129,0.42528,0.314959,-1.146257,-0.500478,,,
1788350741001,0.67973,0.86023,1.64755,-0.333651,-0.617234,-0.181642,,,
1788350741001,0.67973,0.86023,1.64755,-0.333651,-0.617234,-0.181642,,,
1788350741001,-0.72482,-1.31068,0.66209,-0.774926,-0.675398,-0.363635,,,
1788350741001,-0.51455,-0.68588,-0.73422,-0.806135,-0.580444,-0.507887,,,
1788350741001,-0.16951,-0.93223,-1.05557,-0.489775,0.716138,-0.453307,,,
1788350741001,1.01945,0.83089,-1.91772,0.105775,1.100273,0.057294,,,
1788350741001,1.38679,1.68289,-0.71782,1.258832,-0.546130,0.027009,,,
1788350741001,0.90805,1.47748,1.77991,1.108720,-0.951472,0.062372,,,
1788350741001,0.90805,1.47748,1.77991,1.108720,-0.951472,0.062372,,,
1788350741001,-0.06765,0.74501,1.54445,0.872778,-0.978446,-0.556081,,,
1788350741001,0.39924,2.20368,1.83639,0.715965,0.147184,-1.141876,,,
1788350741001,-0.76795,1.62621,3.24094,0.236820,0.754154,-1.751104,,,
1788350741001,-2.74690,-1.70198,3.03630,-1.677341,0.905185,-1.392982,,,
1788350741001,-0.52520,-4.68914,-2.23863,-1.414176,0.532008,-0.359465,,,
1788350741001,2.92689,3.08166,-2.88756,-0.361488,0.878470,0.267575,,,
1788350742001,2.92689,3.08166,-2.88756,-0.361488,0.878470,0.267575,13.1257075,77.5794681,9.53
1788350742001,-1.09253,0.47612,0.01154,1.018407,0.377940,-0.206374,,,
1788350742001,-0.59758,0.06570,2.67617,-0.134779,-0.028990,0.005321,,,
1788350742001,-1.04814,0.35720,-0.21638,0.006861,-0.477542,-0.198306,,,
1788350742001,-1.62166,-0.67489,0.84620,-0.039287,0.159207,-0.534950,,,
1788350742001,-0.18648,0.49473,-0.61963,-0.375816,0.623552,-0.730164,,,
