timestamp_ms,lat,lon,accuracy_m
1788569635887,13.1355584,77.5888637,40.09
1788569637771,13.1355583,77.5888638,39.39
1788569638292,13.1355583,77.5888638,39.38
1788569640018,13.1356055,77.5886716,19.99
1788569641022,13.1356196,77.5886645,19.12
1788569642017,13.1356275,77.5886387,14.99
1788569643017,13.1356237,77.5886478,14.93
1788569644017,13.1356261,77.5886443,14.83
1788569645019,13.1356305,77.5886312,12.73
1788569645999,13.1356324,77.5886301,17.05
1788569646999,13.1356371,77.5886199,14.04
1788569647999,13.1356299,77.5886285,45.96
1788569648999,13.1356262,77.5886247,45.96
1788569649999,13.1356234,77.5886228,45.96
1788569650999,13.1356228,77.5886268,44.08
1788569651999,13.1356168,77.5886094,43.89
1788569652999,13.1356376,77.5886021,42.24
1788569653999,13.1356484,77.5886062,20.34
1788569654999,13.1356454,77.5886083,20.2
1788569655999,13.135645,77.5886109,20.17
1788569656999,13.1356451,77.5886109,20.14
1788569657999,13.1356536,77.5886215,20.14
1788569658999,13.1356354,77.5886273,20.07
1788569659999,13.135639,77.5886245,20.03
1788569660999,13.135639,77.5886277,20.03
1788569661999,13.1356362,77.588633,19.79
1788569662999,13.1356362,77.588633,19.79
1788569663999,13.1356327,77.5886335,19.79
1788569664999,13.1356293,77.5886378,21.77
1788569665999,13.1356043,77.5886538,21.77
1788569666999,13.1355949,77.588661,21.77
1788569667999,13.135577,77.5886797,21.77
1788569668999,13.135575,77.5886935,21.77
1788569669999,13.1355759,77.5887166,21.77
1788569670999,13.135574,77.5887393,21.77
1788569671999,13.1355693,77.5887411,14.25
1788569672999,13.135561,77.5887595,14.25
1788569673999,13.1355736,77.588836,14.25
1788569674999,13.1355794,77.5888688,14.25
1788569675999,13.1355719,77.5888931,14.25
1788569676999,13.135579,77.5889163,14.25
1788569677999,13.1356081,77.5889237,14.25
1788569678999,13.1355798,77.5889416,14.25
1788569679999,13.1355825,77.5889453,14.25
1788569680999,13.1355613,77.5889544,14.25
1788569681999,13.1355595,77.5889588,14.25
1788569682999,13.1355413,77.588972,14.25
1788569683999,13.1355488,77.5889663,14.25
1788569684999,13.1355634,77.5889625,14.25
1788569685999,13.1355555,77.5889774,14.25
1788569686999,13.1355502,77.5889731,14.25
1788569687999,13.1355551,77.5889812,14.25
1788569688999,13.1355454,77.5889802,14.25
1788569689999,13.1355556,77.5889921,14.25
1788569690999,13.1355612,77.5890065,14.25
1788569691999,13.1355866,77.5890203,14.25
1788569692999,13.1356385,77.5890221,14.25
1788569693999,13.1356971,77.5890196,14.25
1788569694999,13.1357834,77.5890197,14.25
1788569695999,13.1358767,77.5890283,14.25
1788569696999,13.1359547,77.5890293,14.25
1788569697999,13.1360349,77.5889706,14.25
1788569698999,13.1360853,77.5889748,14.25
1788569699999,13.1361214,77.5889638,14.25
1788569700999,13.1361627,77.5889987,14.25
1788569701999,13.1362014,77.589011,14.25
1788569702999,13.1362261,77.589022,14.25
1788569703999,13.1362569,77.5890298,14.25
1788569704999,13.1362866,77.5890305,14.25
1788569705999,13.1362804,77.5890235,14.25
1788569706999,13.1363135,77.5890334,14.25
1788569707999,13.1363375,77.5890353,14.25
1788569708999,13.1363698,77.5890489,14.25
1788569709999,13.1363974,77.5890572,14.25
1788569710999,13.1364103,77.5890613,14.25
1788569711999,13.1364288,77.5890619,14.25
1788569712999,13.1364467,77.5890655,14.25
1788569713999,13.1364641,77.5890756,14.25
1788569714999,13.1364895,77.5890763,14.25
1788569715999,13.1365225,77.5890854,14.25
1788569716999,13.1365419,77.5890921,14.25
1788569717999,13.136559,77.5890975,14.25
1788569718999,13.1365843,77.5891016,14.25
1788569719999,13.136613,77.5891118,14.25
1788569720999,13.1366352,77.5891221,14.25
1788569721999,13.1366686,77.5891403,14.25
1788569722999,13.136701,77.5891538,14.25
1788569723999,13.1367374,77.5891703,14.25
1788569724999,13.1367496,77.589178,14.25
1788569733999,13.1372128,77.5894292,14.25
1788569734999,13.1372844,77.58947,14.25
1788569735999,13.137356,77.5895045,14.25
1788569736999,13.1374261,77.5895347,14.25
1788569737999,13.1374932,77.5895679,14.25
1788569738999,13.1375651,77.5896029,14.25
1788569739999,13.1376485,77.5896383,14.25
1788569740999,13.1377262,77.5896705,14.25
1788569741999,13.13781,77.5896972,14.25
1788569742999,13.1378985,77.5897277,14.25
1788569743999,13.1379884,77.5897462,14.25
1788569744999,13.138082,77.5897585,14.25
1788569745999,13.1381884,77.5897747,14.25
1788569746999,13.138306,77.5897945,14.25
1788569747999,13.13843,77.5898098,14.25
1788569748999,13.1385498,77.5898303,14.25
1788569749999,13.1386736,77.5898558,14.25
1788569750999,13.1388126,77.5898637,14.25
1788569751999,13.1389576,77.5898734,10.79
1788569752999,13.1391029,77.5898893,9.21
1788569753999,13.1392482,77.5899201,8.52
1788569754999,13.1393708,77.5899583,8.23
1788569755999,13.1394856,77.5899667,8.11
1788569756999,13.1395959,77.5899402,8.05
1788569757999,13.1397112,77.5899036,8.03
1788569758999,13.1398293,77.5898524,8.01
1788569759999,13.1399537,77.5898113,8.01
1788569760999,13.1400747,77.5897698,8.0
1788569761028,13.1400747,77.5897698,8.0
1788569761999,13.1401898,77.5897342,8.0
1788569762999,13.1403112,77.5897087,8.0
1788569763999,13.1404367,77.5896868,8.0
1788569764999,13.1405563,77.5896548,8.0
1788569765999,13.1406668,77.5896274,8.0
1788569766999,13.1407747,77.5895932,11.12
1788569767999,13.1408675,77.5895704,12.63
1788569768999,13.14095,77.5895528,13.34
1788569769999,13.1410193,77.5895327,13.71
1788569770999,13.1410856,77.5895134,13.92
1788569771997,13.1411684,77.5894876,14.03
1788569772997,13.1412434,77.5894481,14.11
