timestamp_ms,lat,lon,heading_rad,std_e_m,std_n_m,cov_ee,cov_en,cov_nn
1788569637771,13.135598875642051,77.58873347750287,0.0,6.337479011639025,6.337479011639025,40.16364022296516,0.0,40.16364022296516
1788569637832,13.135599073493443,77.58873292798042,0.0002696809999997,6.30413298281702,6.30413298281702,39.74209266504141,0.0,39.74209266504141
1788569637894,13.135599275839065,77.5887323685432,0.0001976369999994,6.270507556572056,6.270507556572056,39.31926501702726,0.0,39.31926501702726
1788569637955,13.13559947470519,77.58873181723838,0.0001763789999995,6.237688203639527,6.237688203639527,38.90875412582371,0.0,38.90875412582371
1788569638016,13.13559967272313,77.58873126546409,0.0003177299999994,6.205130936130143,6.205130936130143,38.50364993451934,0.0,38.50364993451934
1788569638077,13.135599869887836,77.58873071271306,0.0003276619999992,6.172837073323607,6.172837073323607,38.10391753379836,0.0,38.10391753379836
1788569638139,13.13560006965814,77.58873015001606,0.000377075999999,6.140284251520853,6.140284251520853,37.703090689475005,0.0,37.703090689475005
1788569638200,13.135600268182452,77.58872959580762,0.000313988999999,6.1085233479761225,6.1085233479761225,37.31405749276942,0.0,37.31405749276942
1788569638261,13.135600467576491,77.58872904130887,0.0002138269999991,6.0770276368501905,6.0770276368501905,36.930264899041006,0.0,36.930264899041006
1788569638322,13.135600664397234,77.58872848654563,0.0002592879999991,6.045798477426327,6.045798477426327,36.551679229650496,0.0,36.551679229650496
1788569638381,13.135600857656572,77.58872794784322,0.0001099239999993,6.015848659267084,6.015848659267084,36.190435091205565,0.0,36.190435091205565
1788569638441,13.135601053006738,77.58872739913522,7.86639999992289e-05,5.985650451988255,5.985650451988255,35.8280113333872,0.0,35.8280113333872
1788569638500,13.13560124671486,77.58872685911936,0.0001069509999989,5.956210632017947,5.956210632017947,35.47644509296363,0.0,35.47644509296363
1788569638560,13.135601444748042,77.5887263088717,-7.466900000130394e-05,5.926532594117048,5.926532594117048,35.12378858913174,0.0,35.12378858913174
1788569638619,13.135601639882532,77.58872576757153,3.026199999878187e-05,5.897605761687202,5.897605761687202,34.78175372028608,0.0,34.78175372028608
1788569638679,13.1356018399512,77.588725216676,8.481999998810608e-06,5.868450941509674,5.868450941509674,34.43871645290578,0.0,34.43871645290578
1788569638738,13.135602035122355,77.5887246755209,-0.000171792000001,5.840040101751637,5.840040101751637,34.106068390067264,0.0,34.106068390067264
1788569638798,13.135602229053095,77.58872412769432,-0.0005616120000007,5.811411562044869,5.811411562044869,33.77250434346878,0.0,33.77250434346878
1788569638857,13.135602415605153,77.58872359045289,-0.0010949870000005,5.783519732534157,5.783519732534157,33.44910049661196,0.0,33.44910049661196
1788569638917,13.135602595238025,77.58872304729809,-0.0014956970000006,5.755420546812639,5.755420546812639,33.12486567067309,0.0,33.12486567067309
1788569638976,13.135602770895792,77.58872251706954,-0.0017606010000004,5.7280507537512,5.7280507537512,32.810565437549684,0.0,32.810565437549684
1788569639036,13.135602952364732,77.58872197828232,-0.0021593010000002,5.700484002161184,5.700484002161184,32.495517858895596,0.0,32.495517858895596
